State,Flower,Scientific Name
Alabama,Camellia  (state flower),Not found
Oak-leaf hydrangea  (state wildflower),Hydrangea quercifolia,Clade
Alaska,Forget-me-not,Myosotis
American Samoa,Paogo (ulafala),Not found
Arizona,Saguaro cactus blossom,Not found
Arkansas,Apple blossom,Not found
California,California poppy,Clade
Colorado,Colorado blue columbine,Aquilegia coerulea
Connecticut,Mountain laurel(state flower),Not found
Michaela Petit's Four-O’Clocks(children's state flower),Mirabilis jalapa,Mirabilis jalapa
Delaware,Peach blossom,Thyatira
District of Columbia,American beauty rose,Rosa
Florida,Orange blossom(state flower),Not found
Tickseed(state wildflower),Coreopsis spp.,Not found
Georgia,Cherokee rose(state floral emblem),Not found
Azalea(state wildflower),Rhododendron,Rhododendron
Guam,Bougainvillea spectabilis,Bougainvillea spectabilis
Hawaii,Hawaiian hibiscus  (maʻo hau hele),Not found
Idaho,Syringa,Syringa
Idaho,Mock orange,Not found
Illinois,Violet(state flower),Not found
Milkweed(state wildflower),Asclepias spp.,Not found
Indiana,Peony,Paeonia suffruticosa
Iowa,Wild rose,Not found
Kansas,Sunflower,Helianthus annuus
Kentucky,Goldenrod,Not found
Louisiana,Magnolia  (state flower),Not found
Louisiana iris  (state wildflower),Iris giganticaerulea,Iris giganticaerulea
Maine,White pine cone,Not found
Maine,Tassel,Not found
Maryland,Black-eyed susan,Not found
Massachusetts,Mayflower,Mayflower
Michigan,Apple blossom  (state flower),Not found
Dwarf lake iris  (state wildflower),Iris lacustris,Iris lacustris
Minnesota,Pink,Not found
Minnesota,White lady's slipper,Cypripedium montanum
Mississippi,Magnolia  (state flower),Not found
Tickseed  (state wildflower),Coreopsis,Coreopsis
Missouri,Hawthorn,Not found
Montana,Bitterroot,Lewisia rediviva
Nebraska,Goldenrod,Not found
Nevada,Sagebrush,Not found
New Hampshire,Purple lilac(state flower),Not found
Pink lady's slipper(state wildflower),Cypripedium acaule,Cypripedium acaule
New Jersey,Violet,Not found
New Mexico,Yucca flower,Not found
New York,Rose,Rosa rubiginosa
North Carolina,Flowering dogwood(state flower),Not found
Carolina lily(state wildflower),Lilium michauxii,Lilium michauxii
North Dakota,Wild prairie rose,Rosa arkansana
Northern Mariana Islands,Flores mayo,Not found
Ohio,Scarlet carnation(state flower),Not found
Large white trillium(state wild flower),Trillium grandiflorum,Trillium grandiflorum
Oklahoma,Oklahoma rose  (state flower),Not found
Indian blanket  (state wildflower),Gaillardia pulchella,Gaillardia pulchella
Mistletoe  (state floral emblem),Phoradendron leucarpum,Phoradendron leucarpum
Oregon,Oregon grape,Berberis aquifolium
Pennsylvania,Mountain laurel  (state flower),Not found
Penngift crown vetch  (beautification and  conservation plant),Coronilla varia,Clade
Puerto Rico,Flor de maga,Clade
Rhode Island,Violet,Not found
South Carolina,Yellow jessamine  (state flower),Not found
Goldenrod  (state wildflower),Solidago altissima,Solidago altissima
South Dakota,Pasque flower,Pulsatilla
Tennessee,Iris  (state cultivated flower),Not found
Purple passionflower  (state wildflower 1),Passiflora incarnata,Passiflora incarnata
Tennessee purple coneflower  (state wildflower 2),Echinacea tennesseensis,Echinacea tennesseensis
Texas,Bluebonnet sp.,Not found
Utah,Sego lily,Clade
Vermont,Red clover,Trifolium pratense
Virgin Islands,Yellow elder,Tecoma stans
Virginia,American dogwood,Not found
Washington,Coast rhododendron,Clade
West Virginia,Rhododendron,Rhododendron
Wisconsin,Wood violet,Not found
Wyoming,Indian paintbrush,Not found
