State,Flower,Scientific Name,Image URL,Symbolism
Alabama,Camellia  (state flower),Not found,Not found,
Oak-leaf hydrangea  (state wildflower),Hydrangea quercifolia,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Hydrangea_quercifolia_BhamBotGdn.jpg/220px-Hydrangea_quercifolia_BhamBotGdn.jpg,Hydrangea quercifolia was declared the official state wildflower of Alabama in 1999.[25]
Alaska,Forget-me-not,Myosotis,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Myosotis_arvensis_ois.JPG/220px-Myosotis_arvensis_ois.JPG,"The small, blue forget-me-not flower was first used by the Grand Lodge Zur Sonne, in 1926, as a Masonic emblem at the annual convention in Bremen, Germany. In 1938, a forget-me-not badge—made by the same factory as the Masonic badge—was chosen for the annual Nazi Party Winterhilfswerk, the annual charity drive of the National Socialist People's Welfare, the welfare branch of the Nazi party. This coincidence enabled Freemasons to wear the forget-me-not badge as a secret sign of membership.[11][better source needed][12]"
American Samoa,Paogo (ulafala),Not found,Not found,
Arizona,Saguaro cactus blossom,Not found,Not found,
Arkansas,Apple blossom,Not found,Not found,
California,California poppy,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Kaldari_Eschscholzia_californica_01.jpg/220px-Kaldari_Eschscholzia_californica_01.jpg,
Colorado,Colorado blue columbine,Aquilegia coerulea,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Heavycolumbinebloom.jpg/220px-Heavycolumbinebloom.jpg,
Connecticut,Mountain laurel(state flower),Not found,Not found,
Michaela Petit's Four-O’Clocks(children's state flower),Mirabilis jalapa,Mirabilis jalapa,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Gul-Abas-4-O%27clock_plant.JPG/220px-Gul-Abas-4-O%27clock_plant.JPG,
Delaware,Peach blossom,Thyatira,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Thyatira_batis_01.jpg/220px-Thyatira_batis_01.jpg,
District of Columbia,American beauty rose,Rosa,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Dingee_guide_to_rose_culture_-_1850_1910_%281910%29_%2820334060563%29.jpg/220px-Dingee_guide_to_rose_culture_-_1850_1910_%281910%29_%2820334060563%29.jpg,
Florida,Orange blossom(state flower),Not found,Not found,
Tickseed(state wildflower),Coreopsis spp.,Not found,Not found,
Georgia,Cherokee rose(state floral emblem),Not found,Not found,
Azalea(state wildflower),Rhododendron,Rhododendron,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Alpenroos.jpg/220px-Alpenroos.jpg,
Guam,Bougainvillea spectabilis,Bougainvillea spectabilis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Starr_030418-0058_Bougainvillea_spectabilis.jpg/220px-Starr_030418-0058_Bougainvillea_spectabilis.jpg,
Hawaii,Hawaiian hibiscus  (maʻo hau hele),Not found,Not found,
Idaho,Syringa,Syringa,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Stockholm-lilac.jpg/220px-Stockholm-lilac.jpg,
Idaho,Mock orange,Not found,Not found,
Illinois,Violet(state flower),Not found,Not found,
Milkweed(state wildflower),Asclepias spp.,Not found,Not found,
