State,Flower,Scientific Name,Image URL,Symbolism
Indiana,Peony,Paeonia suffruticosa,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/PaeoniaSuffruticosa7.jpg/220px-PaeoniaSuffruticosa7.jpg,
Iowa,Wild rose,Not found,Not found,
Kansas,Sunflower,Helianthus annuus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sunflower_sky_backdrop.jpg/220px-Sunflower_sky_backdrop.jpg,
Kentucky,Goldenrod,Not found,Not found,
Louisiana,Magnolia  (state flower),Not found,Not found,
Louisiana iris  (state wildflower),Iris giganticaerulea,Iris giganticaerulea,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Blue_Iris_at_Jean_Lafitte_Barataria_Unit_%28cropped%29.jpg/220px-Blue_Iris_at_Jean_Lafitte_Barataria_Unit_%28cropped%29.jpg,
Maine,White pine cone,Not found,Not found,
Maine,Tassel,Not found,Not found,
Maryland,Black-eyed susan,Not found,Not found,
Massachusetts,Mayflower,Mayflower,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Copyrighted_and_Published_by_A_S_Burbank%2C_The_Mayflower_at_Sea_%28NBY_21340%29.jpg/300px-Copyrighted_and_Published_by_A_S_Burbank%2C_The_Mayflower_at_Sea_%28NBY_21340%29.jpg,
Michigan,Apple blossom  (state flower),Not found,Not found,
Dwarf lake iris  (state wildflower),Iris lacustris,Iris lacustris,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Dwarf_Lake_Iris.jpg/220px-Dwarf_Lake_Iris.jpg,
Minnesota,Pink,Not found,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Pink_sapphire_ring.jpg/121px-Pink_sapphire_ring.jpg,
Minnesota,White lady's slipper,Cypripedium montanum,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Cypripedium_montanum_-_Flickr_002.jpg/220px-Cypripedium_montanum_-_Flickr_002.jpg,
Mississippi,Magnolia  (state flower),Not found,Not found,
Tickseed  (state wildflower),Coreopsis,Coreopsis,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Coreopsisgigantea.jpg/220px-Coreopsisgigantea.jpg,
Missouri,Hawthorn,Not found,Not found,
Montana,Bitterroot,Lewisia rediviva,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Lewisia_rediviva_9789.JPG/220px-Lewisia_rediviva_9789.JPG,
Nebraska,Goldenrod,Not found,Not found,
Nevada,Sagebrush,Not found,Not found,
New Hampshire,Purple lilac(state flower),Not found,Not found,
Pink lady's slipper(state wildflower),Cypripedium acaule,Cypripedium acaule,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Cypripedium_acaule_-_Sasata_edit1.jpg/220px-Cypripedium_acaule_-_Sasata_edit1.jpg,
New Jersey,Violet,Not found,Not found,
New Mexico,Yucca flower,Not found,Not found,
New York,Rose,Rosa rubiginosa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Rosa_rubiginosa_1.jpg/220px-Rosa_rubiginosa_1.jpg,
North Carolina,Flowering dogwood(state flower),Not found,Not found,
Carolina lily(state wildflower),Lilium michauxii,Lilium michauxii,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Lilium_michauxii.jpg/220px-Lilium_michauxii.jpg,
North Dakota,Wild prairie rose,Rosa arkansana,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Rosa_arkansana.jpg/220px-Rosa_arkansana.jpg,"Wild  rose is the state flower of the U.S. states of Iowa and North Dakota.  In Iowa, convention states the species is Rosa pratincola (currently treated as a synonym of Rosa arkansana).  North Dakota, on the other hand, specifies either Rosa arkansana or Rosa blanda.  Alberta's ""wild rose"" is Rosa acicularis."
Northern Mariana Islands,Flores mayo,Not found,Not found,
Ohio,Scarlet carnation(state flower),Not found,Not found,
Large white trillium(state wild flower),Trillium grandiflorum,Trillium grandiflorum,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Trillium_grandiflorum_at_Backus_Woods.jpg/220px-Trillium_grandiflorum_at_Backus_Woods.jpg,
Oklahoma,Oklahoma rose  (state flower),Not found,Not found,
Indian blanket  (state wildflower),Gaillardia pulchella,Gaillardia pulchella,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Gaillardia_in_Aspen_%2891273%29.jpg/220px-Gaillardia_in_Aspen_%2891273%29.jpg,
Mistletoe  (state floral emblem),Phoradendron leucarpum,Phoradendron leucarpum,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/American_Mistletoe_%28NGM_XXXI_p514%29.jpg/220px-American_Mistletoe_%28NGM_XXXI_p514%29.jpg,
Oregon,Oregon grape,Berberis aquifolium,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Mahonia_aquifolium.jpg/220px-Mahonia_aquifolium.jpg,
Pennsylvania,Mountain laurel  (state flower),Not found,Not found,
Penngift crown vetch  (beautification and  conservation plant),Coronilla varia,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/20150624Securigera_varia3.jpg/220px-20150624Securigera_varia3.jpg,
Puerto Rico,Flor de maga,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flower_of_the_maga_tree.jpg/220px-Flower_of_the_maga_tree.jpg,
Rhode Island,Violet,Not found,Not found,
South Carolina,Yellow jessamine  (state flower),Not found,Not found,
Goldenrod  (state wildflower),Solidago altissima,Solidago altissima,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Solidago_altissima_161401409.jpg/220px-Solidago_altissima_161401409.jpg,
South Dakota,Pasque flower,Pulsatilla,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Pasque_Flower_%28Pulsatilla_vulgaris%29_%2817022184800%29.jpg/220px-Pasque_Flower_%28Pulsatilla_vulgaris%29_%2817022184800%29.jpg,
Tennessee,Iris  (state cultivated flower),Not found,Not found,
Purple passionflower  (state wildflower 1),Passiflora incarnata,Passiflora incarnata,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/MaypopFlowerBBee.jpg/220px-MaypopFlowerBBee.jpg,
Tennessee purple coneflower  (state wildflower 2),Echinacea tennesseensis,Echinacea tennesseensis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Echinacea_tennesseensis_Couchville.jpg/220px-Echinacea_tennesseensis_Couchville.jpg,
Texas,Bluebonnet sp.,Not found,Not found,
Utah,Sego lily,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Sego_lily_cm.jpg/220px-Sego_lily_cm.jpg,
Vermont,Red clover,Trifolium pratense,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Trifolium_pratense_-_Keila2.jpg/220px-Trifolium_pratense_-_Keila2.jpg,Trifolium pratense is the national flower of Denmark[20] and the state flower of Vermont.[21]
Virgin Islands,Yellow elder,Tecoma stans,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Tecoma_Stans_%28Yellow_Elder%29_%2828863456756%29.jpg/220px-Tecoma_Stans_%28Yellow_Elder%29_%2828863456756%29.jpg,
Virginia,American dogwood,Not found,Not found,
Washington,Coast rhododendron,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Rhododendron_macrophyllum_4861.JPG/220px-Rhododendron_macrophyllum_4861.JPG,
West Virginia,Rhododendron,Rhododendron,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Alpenroos.jpg/220px-Alpenroos.jpg,
Wisconsin,Wood violet,Not found,Not found,
Wyoming,Indian paintbrush,Not found,Not found,
